job_title,company,job_description,salary,location,job_highlights,job_link,Career Level,Qualification,Years of Experience,Job Type,Job Functions,Company Website
Senior Data Analyst (Business Planning & Analytics),Hutchison Telecommunications (Hong Kong) Limited,"Responsibilities: Perform various design, develop, maintain and troubleshoot ETL jobs Compile and develop reports to monitor business performance Consolidate and communicate with different internal business units and l iaise IT for business analysis for reporting  Support ad hoc project as assigned  Requirements: Bachelor’s degree holder in Information System, Statistics, or related disciplines 3-5 years’ relevant experience, preferably in data management/science or CRM and types of telecom, banking or FMCG industry Excellent analytical skills with strong data sense, with knowledge in Linx/Unix, SQL and programming is preferrable Good team player and able to deal with large quantity of data (high accuracy in tight timeline) Good command of MS Excel and Powerpoint. Candidate with less experience also will be considered as Data Analyst Apart from competitive remuneration package and exciting opportunity for career development within the Group, we provide attractive employee benefits such as free company shuttle, free company SIM card and preferential SIM plan offers, comprehensive medical & insurance schemes, as well as full range of other employee well-being provisions. Interested parties, please apply with full resume, present and expected salary by clicking “APPLY NOW” or eMail: career @ hthk.com We are an equal opportunity employer and welcome applications from all qualified candidates. Personal data collected will be treated in the strictest confidence and handled confidentially by authorised personnel for recruitment-related purposes only within the CK Hutchison Group of companies. The personal data of unsuccessful applicants will be destroyed after the recruitment exercise pursuant to the requirements of the Personal Data (Privacy) Ordinance in Hong Kong. ",,Tsing Yi," Knowledge with programming / data analysis, Detailed-minded with strong in analytical skill, Good team player and adaptable in fast pace",/hk/en/job/senior-data-analyst-business-planning-analytics-100003010616193?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=1&jobId=jobsdb-hk-job-100003010616193,Entry Level,Non-Degree Tertiary,3 years,"Full Time, Permanent","Information Technology (IT) ,  DBA ,  Product Management / Business Analyst ,  Data Scientist",
Business Analyst / Assistant Business Analyst,BridgeBuilder Company Limited,"To  cope with the rapid growth, we are looking for high-caliber talent to join us. Responsibilities: Responsible for system implementation activities, such as user requirements and business mapping studies; user training, testing, UAT, SIT, and system nursing support. Analyze and design on system customization, prepare documents on system design, and user specification. Provide operation support and system maintenance to clients. Assist in first-level system support  and  perform troubleshooting to the system. Formulate test plans, and perform program testing and troubleshooting on systems. Work closely with internal teams and translate user requirements to functional requirements and perform system design and testing. Perform other related duties assigned by the supervisor. Requirements: Higher Diploma or above, preferred in Computer Science, IS, Business or related discipline Good command of spoken and written English, Chinese and Mandarin Competence in Chinese and English documentation Basic knowledge in MS SQL / Database systems would be an advantage Good team player, communication and interpersonal skills Good attitude, hardworking, eager to learn and able to work under pressure independently With logical and analytical mind Responsible and attaining to details Able to complete tasks in a timely manner With customer service experience would be an advantage Fresh graduates will also be considered Benefits Birthday leave Five-day work Performance bonus Life insurance Medical insurance Job related examination leave Interested parties,please submit your application enclosing your full resume withpresent & expected salary. Explore more about our new initiatives; please visit our website at www.bridgebuilderhrms.com . ",,Kwai Hing," Project Implementation, Good analytical-mind, problem solving skill, 5 Days Work Week with attractive Benefits",/hk/en/job/business-analyst-assistant-business-analyst-100003010618193?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=2&jobId=jobsdb-hk-job-100003010618193,Middle,Non-Degree Tertiary,N/A,"Full Time, Permanent","Information Technology (IT) ,  Application Specialist - Software ,  Product Management / Business Analyst ,  Technical / Functional Consulting",
(Senior) Data Scientist / Engineer - Operational Research,"TCL Corporate Research (Hong Kong) Co., Limited","Job Description This role would participate into the development of mathematical optimization methods applying to improve the planning efficiency and production capacity of TCL manufacturing. You will face complex large-scale production lines, working with valuable challenge tasks such as Master Production Scheduling (MPS), Advanced Planning and Scheduling (APS), 3D Bin Packing, etc. If you are major in applied mathematics, operations research, management science or other applied sciences, and interested in applying optimization and data analytics techniques to lift revenue, feel free to deliver your resume to us. Job responsibilities: 1. Perform mathematical modeling to describe complex business requirements; 2. Apply various mathematical optimization techniques to design optimal and near-optimal algorithms. 3. Committed to the development and deployment of optimization models/algorithms at various stages. job requirements: 1. Master or Ph.D degree with strong mathematical modeling and algorithm skills in engineering, operations research and optimization, computer and other applied sciences. 2. Familiar with various types of operational research optimization models, understand the usage scenarios and computing efficiency of each model, and be able to select appropriate algorithm models to meet customer needs; 3. Have a certain engineering ability, can abstract and standardize models, algorithms, and scenarios, and have the ability to wrap code; 4. Specialize in at least one of the following programming languages ​​(C/C++, C#, Java, Python). 5. Have strong communication skills, learning ability, self-driving ability, sense of responsibility and teamwork ability. ",,Shatin Area," Perform mathematical modeling, Master Production Scheduling, Advanced Planning and Scheduling",/hk/en/job/senior-data-scientist-engineer-operational-research-100003010613482?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=3&jobId=jobsdb-hk-job-100003010613482,Middle,,,Full Time,"Engineering ,  Electrical / Electronics ,  Information Technology (IT) ,  Software Development ,  Data Scientist",
(Senior) Data Scientist,Hong Kong Industrial Artificial Intelligence and Robotics Centre Limited,"Hong Kong Industrial Artificial Intelligence and Robotics Centre Limited (Flair) Ref: Flair381/23 Job Description What you'll do: Contribute to the whole life cycle of the product development including requirement analysis, system design, implementation, testing, and production support Support on algorithm development, data analysis, and prototyping for industrial applications Work collaboratively with technical lead, program manager and business users during the phases of requirement, design and development to ensure quality of deliverables You'll be a good fit if you have/are: Master’s degree or above in Computer Science / Computer Engineering / Information Engineering or relevant disciplines At least 7 years experience in data mining / machine learning / computer vision / pattern recognition algorithm development Experience in data analysis and visualization tools, such as scikit-learn, pandas, opencv, etc. Experience in deep learning algorithm development tools, such as pytorch, tensorflow, etc. Project experience in real-time data acquisition and time series analysis Proficiency in programming languages, such as python, c/c++ Knowledge in industrial AI applications, such as predictive maintenance, condition monitoring, anomaly detection, etc. Proficiency in document writing and communication skills, good team player Understand the industry. Experience in the Industry 4.0. Proficiency in both spoken and written English, Cantonese/Putonghua Note: Applicant may be considered for other positions if not matching the requirements of the subject position.  What we offer and What you’ll like here: Innovative and energetic culture with smart outfits and sport shoes Professional lab and latest technology to actualize your creative ideas 5-day work week Prime location with good public transport network MPF and dental benefit Medical benefits from Day-1 with extended coverage to dependent(s) Professional training and career advancement opportunities Apply now if you’re ready to take the challenge! Do not miss this opportunity to join us to Create Value and “MAKE SMART SMARTER”!  Flair will take into consideration both the quantitative and qualitative requirements of the position when selecting thesuitable candidates.A competitive salary package commensurate with academic qualifications and experience will be offered. Applicants are welcome to submit application by email via ""Apply Now""(quoting the reference number on the subject heading)in 1weekfrom the posting date. Recruitment will continue until the position is filled. Personal data collected will be used for recruitment purpose only. Candidates not invited for interviews within 6 weeks may consider their applications unsuccessful and the applications will be disposed by FLAIR within12months. ",,Tai Po Area," Contribute whole life cycle of product developmet, Support on algorithm development, Work collaboratively to ensure quality",/hk/en/job/senior-data-scientist-100003010615065?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=4&jobId=jobsdb-hk-job-100003010615065,Middle,Postgraduate,7 years,"Full Time, Permanent","Sales, CS & Business Devpt ,  Business Development ,  Engineering ,  Others ,  Sciences, Lab, R&D ,  Research & Development (R&D)",
Analyst - 2023 Graduate Position,AVISTA Valuation Advisory Limited,"Service: Business Valuation Location: Hong Kong Scope: We are looking for fresh graduates to join our expanding business valuation team of our Hong Kong office. Our analysts will have the opportunities to have a wide range of exposure to various industries of our listed and unlisted clients for different valuation needs. Our business valuation services include: Performing valuations for financial reporting purposes, such as equity investments, tangible & intangible assets and financial instruments valuations Providing valuations for transaction purposes such as potential acquisitions and disposals of businesses Advising companies and stakeholders in relation to valuation related matters Responsibilities: Analysts will work as a team in general, with our director, managers and other senior analysts. You are expected to: Analyze historical and forecasted financial information provided by clients Conduct research on comparable financial data and other project-related business and industry information Provide assistance to senior colleagues in constructing valuation models and compiling valuation reports Prepare valuation analysis and supporting information for discussions and negotiations with clients and other stakeholders involved Assist in preparing proposals and presentation materials for potential valuation and consulting leads Build relationships and conduct direct contacts with existing and prospective clients as well as other professional teams (such as sponsors, auditors, financial advisors, lawyers, etc.) Requirements: University graduates in all disciplines, preferable with finance and/or accounting degree Self-motivated team player with the ability to work independently in a fast-paced environment Proficiency in both verbal and written English, Cantonese and Mandarin is essential Proficiency in Cantonese speaking is a must Demonstrate interest in business valuation Strong research, financial modeling and financial analytical skills Excellent interpersonal and communication skills Experience in valuation related fields is a plus Short business trips to PRC may be required Salary: HKD20,000+ per month Benefits: We offer attractive remuneration package including a 5-day work week, medical insurance and good career prospect to the suitable candidate. Application Procedure: Please send your CV with expected salary by clicking ""Apply Now"". Personal data will be used for recruitment purpose only. ",,Wan Chai," Valuations for financial reporting and transaction, Excellent knowledge in financial modelling, Remuneration Package HK$20K+",/hk/en/job/analyst-2023-graduate-position-100003010611750?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=5&jobId=jobsdb-hk-job-100003010611750,Entry Level,Degree,N/A,"Full Time, Permanent","Accounting ,  Financial Analyst ,  Banking / Finance ,  Analyst ,  Financial Services",http://www.avaval.com
Business Analyst,Citistore (Hong Kong) Limited,"KEY RESPONSIBILITIES: Act as a bridge between business and IT on definingbusiness requirement and monitoring IT tasks/ projects delivery progress Perform QA review, SIT and coordinate UAT including issue tracking & fix activities for various systems, including POS, SAP, WMS, E-commerce and CRM Facilitate and enable business to fully adopt new systems to improve productivity and efficiency Evaluate problems and risks on AS-IS process, recommend and implement solutions for improvement Prepare IT related documents (eg: function specification, workflow, training material, etc) and setting up appropriate guideline and operation procedures on new IT system / enhancement JOB REQUIREMENTS: Bachelor degree in Computer Science, Information System or related disciplines Passionate can-doer, committed and willing to face challenges 5 years or above working experience as Business Analyst in Retail Business Experience in SQL and/or programming languages is a plus A quick learner with sound analytical ability to pick up new knowledge Excellent interpersonal and problem-solving skills Excellent presentation and communication skills An attractive remuneration package together with fringe benefits will be offered to the right candidate.Interested parties are invited to send your full resume with current and expected salaryby clicking ""Apply Now"". Personal data collected will be used for recruitment purpose only. ",,Tsuen Wan Area," Manage and monitor various IT projects, Min. 5 years of related experience, Evaluate problems and risks on AS-IS process",/hk/en/job/business-analyst-100003010610793?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=6&jobId=jobsdb-hk-job-100003010610793,Middle,Degree,5 years,"Full Time, Permanent","Information Technology (IT) ,  IT Management ,  Product Management / Business Analyst ,  Software Development",
System Analyst,"Panasonic Hong Kong Co., Limited","What you’ll be doing? Manage and participate in whole phases of SDLC (Hearing, analysis, design, development, testing and deployment) to deliver various kind of digital solutions Liaise with internal/external clients, team members and Vendors. Act as a bridge among stake holders to ensure deliverables addressing business needs according to planned schedule Maintain and support existing systems which may include various ERPs or Web applications. Collaborate with team to identify and resolve clients’ issue Who are we looking for? Higher Diploma or above in Computer Science or equivalent 3 - 5 years of experience in Digital Solution Implementation, including requirement gathering/documentation, technical design/development and test plan/execution Hands-on in coding with Java (Spring/SpringBoot, Hibernate etc.) and HTML/CSS/Javascript (jQuery, Bootstrap etc.) Good command of written and spoken English and Chinese (including Mandarin) Other Preferred Requirements Familiar with source code management and version control (Git) RDBMS Experience with Oracle and PL/SQL Experience in BI/Data Analysis Tool (Tableau/Power BI) Knowledge in Cloud Technology (AWS/Azure)  We offer attractive training and development program and fringe benefits to the right candidates: Convenient location and energetic environment Hybrid work with flexible working hours Double pay Performance  Bonus Birthday leave Other special leave Medical insurance Annual body check-up Education allowance Remuneration will be commensurate with qualification and experience. Interested parties, please send your application with detailed resume indicating both existing & expected salary and date of availability to us. We are an equal opportunity employer. All information provided by applicants will be treated in strict confidence and used for recruitment purpose only. ",,Mong Kok," Stable MNC in-house exposure with flex work hour, Attractive T&D program and fringe benefits, Whole phases of SDLC",/hk/en/job/system-analyst-100003010617784?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=7&jobId=jobsdb-hk-job-100003010617784,Middle,Non-Degree Tertiary,3 years,"Full Time, Permanent","Information Technology (IT) ,  Support ,  Others",http://www.panasonic.com/about/overview.asp
Digital Analyst (Ref: MG),Hutchison Telecommunications (Hong Kong) Limited,"Responsibilities: Take charge of digital data and customer behavior analysis, web/app platform performance analysis and digital journey optimization Apply the market trends and best practices such as App Indexing, Web & App Analysis Create reports & holistic dashboards for presentation to management team and Go-to-market team Report analysis to make recommended remedial actions through discussion with supervisors Consolidate and link up customers' digital footprint data with CRM records to provide insights on better Acquisition & Retention strategies Work with internal IT team to implement and deploy website & mobile tags using Adobe Launch & Mobile SDK Propose and follow up enhancements on digital platforms to enhance overall performance Requirements: Degree holder in Information Technology, Data Analysis, Statistics or related disciplines 4 - 5 years of relevant experience in business analytics, e-commerce, digital marketing Solid knowledge and experience of web analytics implementation, tag management, campaign tracking (e.g. Tableau, Adobe Analytics, Tag Manager, SQL) and SEO Hands-on experience in Adobe Analytics Good understanding of digital, technical terms and mechanisms to drive digital platform developments Able to work both independently and a highly collaborative environment with good project management skill Immediately available is highly preferred Apart from competitive remuneration package and exciting opportunities for career development within the Group, we provide attractive employee benefits such as free company shuttle, free company SIM card and preferential SIM plan offers, comprehensive medical & insurance schemes, as well as a full range of other employee well-being provisions. Interested parties, please apply with full resume, present and expected salary, by clicking “ APPLY NOW ”. We are an equal opportunity employer and welcome applications from all qualified candidates. Personal data collected will be treated in the strictest confidence and handled confidentially by authorised personnel for recruitment-related purposes only within the CK Hutchison Group of companies. The personal data of unsuccessful applicants will be destroyed after the recruitment exercise pursuant to the requirements of the Personal Data (Privacy) Ordinance in Hong Kong. ",,Tsing Yi," Degree, 4+ yrs e-Commerce & digital marketing exp., Data & CX analysis to drive business insights, Great career exposure in a supportive environment",/hk/en/job/digital-analyst-ref%3A-mg-100003010599164?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=8&jobId=jobsdb-hk-job-100003010599164,Middle,Degree,5 years,"Full Time, Permanent","Marketing / Public Relations ,  Digital Marketing ,  E-commerce ,  Product Management / Business Analyst ,  Information Technology (IT) ,  Data Scientist",
Business Analyst (Financial Services),Hudson,"Working as a Business Analyst/ Senior business analyst, you will Work with the business and IT project team closely to liaise business requirements, planning, ongoing improvement, etc. Responsible for requirement collections and specifications with business users, and preparing technical specifications according to the requirements. Analyse and troubleshoot issues in the system Coordinate and manage UAT with users, and maintain related documentation and training for users. To be qualified for this role, you will need: Bachelor's Degree holder Min. 2- 4 years of experience as a Business Analyst Familiar with various project management & software development methodologies (e.g. Agile) Basic knowledge in various financial processes/ products Strong communication skills in English and Cantonese Experience on writing operation flowchart is a PLUS ",,," Business Analyst, Project Manager, Transformation",/hk/en/job/business-analyst-financial-services-100003010605548?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=9&jobId=jobsdb-hk-job-100003010605548,Entry Level,Degree,N/A,"Full Time, Permanent","Information Technology (IT) ,  Product Management / Business Analyst ,  Others",https://www.hudson.hk
System Analyst (F&B),Kabushikigaisha Limited,"Responsibilities: Implements computer system requirements by defining and analyzing system problems; designing and testing standards and solutions Assist supervisors to execute solution evaluation. Define application problem by conferring with clients; Assist supervisors to evaluating procedure and processes Assist supervisors to develops solution by establishing specifications; coordinating production with programmers Conduct SIT, UAT, system and software testing and tuning Validates results by testing programs Assist supervisors to ensure operation by training client personnel; providing support Accomplishes information systems and organization mission by completing related results as needed Job Requirement: Higher Diplomaor above in information technology or related discipline. 4+ years IT development & project management experiences Strong knowledge and experience in software design and software documentation, software testing, software maintenance and software development process. Hands-on programming with MS SQL database, VB.net and Python Knowledge in Business Intelligence Tools, e.g. Tableau, PowerBI etc. Knowledge in Low Code development, e.g. UiPath, Power Platform etc. Knowledge inF&Bindustry related experience would be an advantage Willing to interact with internal customer independently and work under pressure Good in negotiation, analytical, documentation and presentation skill. Good communication and interpersonal skills. Positive mindset, responsible, good attitude, reliable and a good team player ",,Kowloon Bay," MS SQL database, VB.net and Python, Business Intelligence Tools, e.g. Tableau, PowerBI, Low Code development, e.g. UiPath, Power Platform",/hk/en/job/system-analyst-f-b-100003010607521?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=10&jobId=jobsdb-hk-job-100003010607521,Entry Level,Non-Degree Tertiary,4 years,Full Time,"Information Technology (IT) ,  Testing / QA ,  Network & System ,  UI/UX Designer",
